#devopsagainsthumanity,http://devopsagainsthumanity.com
Turning it off and on again,The two pillars of our Continuous Deployment pipeline are ___________________ and ___________________.
A PHP script comprised of shell_exec()'s,I got paged at 3am because of _____________________.
A PHP script comprised of exec($_REQUEST['cmd']),The most stable part of our infrastructure? _____________________
Computer Science III,"When I told Jez Humble about our ______________, he actually cried."
Multiple measurement systems,"When I write a book about my experiences, it'll be called ""________________, the good parts"""
Date formats other than yyyy-mm-dd,Restoring from backups failed due to _________________________.
12 hour clocks,My two most indispensable tools are ______________ and _______________.
Clocks in a timezone other than UTC,The production datacenter burned down because of __________________.
Machines not running NTP,"It turns out that the button labeled ""Don't Push"" actually does ___________."
Using Fahrenheit instead of Celsius,You should think of your servers like ________ and not like _________.
Classic Vi,I find Java to be way too ________.
Mesos,It's like trying to herd ______.
Diva designer,I ended up having to buy a replacement _______ on eBay.
sudo chmod -R 777 /,_______ is more memory than anyone will ever need on a computer.
Concurrent Javascript,__________ Driven Development.
NaNNaNNaNNaNNaNNaNNaNNaNNaNNaNNaNNaNNaNNaNNaN Batman!,RIAA is suing me for downloading ________.
Nazi Zombies!!!,Security? We've got that! We use ______________.
Netscape Navigator,I came up with an awesome regex that converts ____________ to _______________.
Mosaic,"When I hooked the 3D printer up to the Internet, it accidentally created _______________."
Adobe,My next blog post will be about how we used _______________ to create _______________.
Microsoft,"So, I was using Wireshark to check network traffic... Did you know we have ________________ in production?"
Apple,My eyes started bleeding when I opened the editor and saw _______________.
Samsung,I think maybe I'll leave ______________ off my resumé.
A new ultrabook,We don't need ______________ - we have _______________ !
Binaries,Management just told me I need to get certified in ____________________.
GitHub,"Our app is like ___________, but for ________________."
A Monad,"Marketing says we're leaders in the _______________ space, but I think it's more accurate to say we specialize in ___________."
Silk Road,Our greatest achievement in the last year is ________________.
--enable-h8,"If we make this deadline, Management has promised us ___________________."
--omg-optimized,Sweet! I just found a Puppet module for ______________!
--funroll-loops,"Last week, I created a Chef recipe for ____________; this week, it's an entire cookbook for ____________. Automation FTW!"
--disable-instructions,We really need to open-source our _________________.
An old Solaris developer,A sales rep just tried to pitch me on ____________; I told them we already have ______________.
"""This webpage is not available""",Who would have known that ___________ could destroy an entire datacenter?
Dan Kaminsky,"To secure our next round of funding, Management says we need ________________."
"65,536",Our production backups are stored using _________________.
Being marked CLOSED WONTFIX,We replaced our _________ with ______________
A datacenter migration,"After _________________ came up, the retrospective really went downhill."
Loading the servers in the back of a shady Canadian's truck,"You know what our app needs? More ______________, less ____________."
The business acumen of the Mormon Church,It figures - an article about our ________________ was posted just as we're pivoting to _______________.
High Latency,"In the next planning session, we'll cover __________ and _______________."
sudo !!,Our competitive advantage is our __________________.
Defcon,"Every time someone brings up ______________, I throw up a little in my mouth."
The training budget,Continuous ___________.
SUID root,All that we had to do to halve our response times was implement ________________
regex golf,Our entire app is geared towards providing ________________.
A Monoid,_________-ility
Slashdot,We just achieved _____________s per second!
quantum encryption,"_______, is that even HA?"
JIRA Jr!,My Linkedin Endorsements include __________________.
rm -rf Russian roulette,Users are _______.
errors which disappear in debug builds,Robots are going to make ________ obsolete.
javascript webservers,Accidental _________.
sysadmins sneaking Minecraft on the production server,An error occurred: E_______
reporting bugs on IRC,"According to the logs, ____________ was initially caused by ___________."
Emacs keyboard shortcuts,"Functional programming - if you can't ______ it, ______ it."
Hamachi for VPN,"On a scale from 1 to 10, this is ___________!"
debugging Genetically Programmed code,"We don't need configuration management, we have ________!"
Exchanging childhood memories for 160GiB of storage,"_______, now with _______ support."
Saint IGNUcius,RedHat has announced that RHEL 8 will ship with _______.
--force,"""Hey, _______ is down. Can you fix it?"""
gem native extensions,Did you try ____________ yet?
anti-affinity,I was 6 beers in when I got the pager alert that _______was down.
multi factor authentication,Notice: Building _____________ for ______________
Python is the new Basic,If it weren't for __________ we'd all be ___________.
YAML,"_______, _______ and just a few lines of Perl."
Cloud-agnostic,NoSQL is superior to SQL because __________
Borland StarTeam,Script kiddies got into _________ because _________.
Paralax!,______________is better than hadoop because ___________
A Python implementation that's basically just a whole bunch of C Preprocessor macros,Rub a little _____________ on it
The empty string language {ε} = Ø,"WAIT, YOU DELETED _______‽‽‽"
Idempotence,@______borat
Chef-client running on OS/2 Warp,"It's not web scale, it's ___________"
@SwiftOnSecurity,The tech support hotline told me to ________________
Adam Jacob's guitar,Asynchronous REST API calls are the solution to ______________
PowerShell,Say concurrent threads again and I will ____________ you.
Clock skew,"""Guys, seriously, if we just use ___________ it will solve all our problems with ____________!"""
A good scotch collection at your desk.,Facebook changed their profiles today because ______.
A 1:1 that goes straight to the bar.,github.com/_____/_______
A 16 hour incident bridge.,Hello. My name is _______ and I am addicted to _______ .
Something said by a NetEng that you didn't understand.,_________ dependency hell.
An obscure stack trace,"That talk outline said it would be about ___________, but it ended up being more like ____________."
An app with no logging,Jordan Sissel hates ______ so much that he created a new opensource project called _________ to work around it.
Steering the Titanic with a popsicle stick,________ isn't a job title
A peer that doesn't believe in peer review,For the next project we are going to use _________ to solve _________ .
Angular js,My editor of choice is __________.
A former MENSA member,__________-Stack Developer
fuckedcompany.com,__________SQL
Golang,"That's not a hacker, that's my __________!"
Growth hacking,It has been __ days since the last ______
Hacker News,I've _____ things you people wouldn't ________
Larry Ellison,The _________ on the server were deleted because _________ .
Leaky abstractions,The intern just ran ______ on the load balancer.
LinkedIn,I need you to do a _________ with _________ before _________ .
Meritocracy,Lambdas are just a lame implementation of _____________.
Node.js,C-x; C-__________
Bullshit.io,This users wants _________ because _________ .
Digital Ocean,_________ should be deprecated in favour of _________ .
Patent,_________ mismatch between ________ and ________
NoSQL,I put _________ on the scripts to make it run faster.
Windows XP,"Developers do not get access to production machines, because of __________."
Hand-crafted artisan x86 assembly code,Developers need access to production machines because __________.
Steve Balmer wielding a battleaxe,We run ______ in a cron job every 15 minutes.
UTF-7,The client says it needs more _________ .
Smart quotes,We're a __________ as a Service company.
cassandra,I could hire a __________ to do your job!
Bare metal,"My next Velocity talk is called ""____ops"""
Big ball of mud,The RFO for the global outage was ____ compunded by _____
:(){:|:&};:,I was hired to maintain this 20 year old script that runs our critical _______ infrastructure.
snail scale,Amazon Elastic _________
little Bobby Tables,"I know we use __________, but I wrote this critical program in __________."
solar flares,I'll just have Ops spin up a couple of _______ environments.
global warming,I'm writing my next IRC bot with ____________.
0 day exploits,I cannot wait until someone makes a __________ cluster out of these.
PyPy,C will finally be displaced by _________
java,"We don't need to worry about _________, We're using MongoDB."
Baron Schwartz,FC067: ________________
Hubot,"Oh, the _____ is just a hack to get the ____ to run."
AngularJS,How do I even __________ ?
VividCortex,________ all the things.
CircleCI,ERROR: ______ NOT FOUND
Kafka Cluster,"We don't need backups, we've got __________."
git push origin master --force,Fixing your fathers computer with _________.
Rob Pike,it's always a ____________ DNS problem
Generics',_______________ with this one weird trick.
Spam,"________ isn't new, we used to do it in the '70s on mainframes."
animal hats,Puppet is better than Chef because ______ and __________
Kyle Redinger,How is ______ better than ________ ?
PHP 5.2,vagrant up ________
Money Compass,bollocks up _______
CrossFit,You can fix  __________ with _____________ .
The Internet,"Yeah, but can it run _________?"
Gusnorris,_________? You can safely ignore that. Usually.
@Thor,____ isn't cool. You know what's cool? _____
@Ale,"I made a new editor, better than vim and emacs. It's called _______________"
@darthAnder,640k should be enough for __________.
@Cesar,____________ worked in dev.
@Fernando,You can't fix _________
@PapaJohn,How hard could it be to port Linux to ___________.
Arms Fall Off Boy,I just finished working on my rocket powered _______.
@mirugle,Richard Stallman will kill you with his teeth for __________.
Javascript Ninja,DB tuning wiith _______.
@Owen,Can anyone help me get _______ running on Cisco IOS?
Thing,Real _________ don't use ______________
@caru  ,________ on XEN
Nacho,Please bring back __________. You broke my workflow.
@isma ,I cut-and-pasted this StackOverflow code for my ________.
42,I'm just finishing up my manifesto on ______________.
SpaceCats,We can discuss ______ at the stand-up meeting.
SOAP,A Beowulf cluster of ____________.
REST API,We're demoing _____ for ______ at SXSW.
Shellshock,I aliased ________ to git _________.
POODLE,"10 PRINT ""____________""; GOTO 10"
@Jeff,alt.binaries._________
FreeBSD,It is completely dark. You are likely to be eaten by a ____________.
agent-007,Conway's Game of _______.
High Performance MySQL,Next year I'll start learning ________________
Beer O'Clock,s/______/______/g
@Preetam,________ is the newest gTLD
@mario ,Works on my ______.
Adrian Cockcroft,One does not simply _____________
Jason Dixon,"Sorry, you'll need to open a ticket before we can __________."
Nathen Harvey,ln -s ______ _______
Battery Ventures,_______
Big Data,__________ is dead.
New Relic,It compiles __________ to JavaScript.
,____________. What the fuck does that mean?
,________-to-butt plugin
,Make it _______________.
,______coin.
,_______ computing
,grep _____ | mail ______
,______ just got pwned.
,"It's like __________, but with __________ and list comprehensions."
,Software Defined ____________.
,"I don't have any UNIX Beards in stock, but we do have  _________"
,"Amazon does _______, why can't we?"
,_________ nagios
,I can't believe you're still using __________.
,"________. You don't exist, go away!"
,I tried __________. The doctors say I'll never walk again.
,git --____________
,The _______ Public License.
,_________ would be so much better if we rewrote it in Clojure.
,So I just found _______ and __________ running in a screen session.
,Why is root running ________ under tmux?
,"Instead of installing _______, what if we just used __________?"
,I need a webinar like I need _________________.
,"Fuck it, time to break out the emergency __________."
,"On the plus side, we finally got rid of ________."
,________ thought leader.
,It looks like you're trying to __________. Can I help?
,bash: command not found: ___________
,ETOOMUCH_________
,How did ________ ever work?
,"Whoops, I thought that method was supposed to ________ the __________."
,I thought you said __________ was secure?
,git: You are in detached ________ state.
,Why don't we just fork __________ ?
,Network dropped connection because of ___________.
,We turned off ________ and everything magically got better.
,I found a Samba share full of ___________
,_________. What could go wrong?
,I installed ________ by accident.
,Read-eval-__________-loop.
,We should try it with an actual _________.
,Is __________ something we need to optimize for?
,Hack __________ into redis.
,_______ Considered Harmful
,never ________ before a demonstration
,The ___________ is used when the CPU is on fire
,modperl can be used to implement _______________
,__________ runs Ruby as root
,Larry Wall trained as missonary then _________________
,Listening to the fans in the server farm leads to _________________
,_________ and _____________ are rumoured to be working on a python module for a helicam
,A lot of disk space is needed for __________
,automagical ___________
,I bet if we switch to ______ it will just work
,A neckbeard made of ______________.
,"False alarm, it was just __________ running ____________."
,Our new startup is the _____ for ______.
,Google Analytics says 100% of my website visitors are _________
,_______will never get job in Microsoft
,Remember when you told me to tell you when you were acting ______ and ______? ---you're doing it now.
,Our only hope at recovering the data is _____________
,________ has been killed with fire.  My work is done here.
,Everytime you allocate you have to _______ when you're done
,90% of everything is __________.
,_________ never use on git
,"When you logged in there, did you see a _______ that said ________"
,Purely numeric hostname and not a _______ -----rejecting!
,I'm pretty sure ________ isn't thread safe
,"Just change the ________, it'll be fine. "
,"Yeah, you need to modprobe ________ to get it to recognize the ________"
,We're spending 20% of this sprint doing ________.
,_________ found a new OpenSSL vulernability people are calling _______.
,Management has changed all our job titles to _________.
,The consultant we hired is certain that _____________ will drastically increase the performance of ___________
,Could you just push this update for _________?  It should be a no-op.
,"If we're all going to get fired, let's get fired for __________."
,A soiled napkin with the contents of ______ scribbled on it
,It's not the recommended configuration to use __________ with ____________ but it's in production right now.
,We rewrote _____________ in _____________
,Artisanally crafted ___.
,"The backups are fine, but the restore process is ____________"
,The ___ that ops provides developers.
,Move ___ and break things.
,_______: ci or not ci?
,I______your stupid issue!
,"I'd like _____, _____, and a pony."
,The trouble with kids these days is ____________
,______ is the new __________
,It took over 40 hours to document _____.
,npm install ________.
,Circular imports import _____.
,________ will help you remember to sanitze your database inputs.
,abcdef
,We accidently the whole _____..
,_____ is the root of all evil.
,_____ has endorsed you on LinkedIn for '_____'.
,Premature _____
,Let's give out _____ as conference swag.
,Look! I created a Hubot command to _____.
,Nate Matthews the _____.
,_____ is no longer with _____.
,_____ is a series of tubes.
,thing _____ me
,Security vulnerability _____ was just reported!
,You need to read _____ by _____.
,_____ coined the term _____.
